100年04月26日 個股日本益比、殖利率及股價淨值比,100年04月26日 個股日本益比、殖利率及股價淨值比,100年04月26日 個股日本益比、殖利率及股價淨值比,100年04月26日 個股日本益比、殖利率及股價淨值比,100年04月26日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,18.77,4.46,1.83
1102,亞泥,14.48,5.8,1.42
1103,嘉泥,72.92,2.29,0.81
1104,環泥,7.95,2.6,0.91
1108,幸福,-,0.0,0.74
1109,信大,-,2.63,0.75
1110,東泥,-,1.53,0.91
1201,味全,22.38,1.88,2.46
1203,味王,332.86,6.44,1.33
1210,大成,20.89,4.82,1.78
1213,大飲,-,0.0,2.35
1215,卜蜂,12.17,5.17,1.08
1216,統一,16.85,4.34,2.54
1217,愛之味,85.63,0.0,1.27
1218,泰山,32.19,3.27,1.62
1219,福壽,19.63,4.27,1.19
1220,台榮,30.91,0.0,1.51
1225,福懋油,17.64,5.21,1.19
1227,佳格,16.91,4.05,4.74
1229,聯華,9.27,3.72,0.90
1231,聯華食,10.64,4.96,1.67
1232,大統益,12.72,6.57,2.74
1233,天仁,24.57,3.51,3.81
1234,黑松,41.45,1.75,1.41
1235,興泰,113.57,0.94,1.94
1236,宏亞,15.57,5.69,1.72
1301,台塑,14.92,6.13,2.60
1303,南亞,16.67,5.4,2.41
1304,台聚,15.72,6.54,2.40
1305,華夏,-,0.0,1.40
1307,三芳,11.88,6.21,2.10
1308,亞聚,10.80,7.98,1.93
1309,台達化,12.63,10.12,1.27
1310,台苯,-,0.0,1.29
1312,國喬,8.10,5.51,1.27
1313,聯成,9.81,4.15,1.30
1314,中石化,10.37,5.48,2.27
1315,達新,39.14,3.65,0.99
1316,上曜,-,0.0,1.92
1319,東陽,13.66,2.64,1.55
1321,大洋,-,0.0,1.87
1323,永裕,11.23,5.96,1.72
1324,地球,22.50,2.22,1.37
1325,恆大,11.58,4.26,1.40
1326,台化,13.66,6.61,2.38
1402,遠東新,20.22,4.95,2.32
1409,新纖,12.06,6.84,0.98
1410,南染,34.81,0.85,1.42
1413,宏洲,107.00,0.0,1.18
1414,東和,8.00,0.0,1.89
1416,廣豐,22.03,0.0,0.97
1417,嘉裕,25.75,0.0,0.92
1418,東華,-,0.0,1.24
1419,新紡,52.60,0.62,1.84
1423,利華,-,0.0,0.66
1432,大魯閣,1.44,0.0,1.02
1434,福懋,12.91,6.48,1.02
1435,中福,2.55,0.0,0.92
1436,華友聯,11.68,1.95,0.82
1437,勤益控,22.55,0.72,1.19
1438,三地開發,18.62,0.0,13.44
1439,雋揚,1.90,0.0,1.20
1440,南紡,10.95,5.77,1.23
1441,大東,-,0.0,1.07
1442,名軒,7.23,6.34,1.69
1443,立益物流,45.13,0.0,0.54
1444,力麗,8.37,5.83,1.30
1445,大宇,11.55,5.41,0.67
1446,宏和,-,0.0,1.36
1447,力鵬,9.97,0.0,1.11
1449,佳和,-,0.0,0.97
1451,年興,9.14,5.22,1.08
1452,宏益,8.58,7.64,0.96
1453,大將,17.21,4.76,1.40
1454,台富,250.00,0.0,0.87
1455,集盛,8.04,5.9,1.37
1456,怡華,-,0.0,0.90
1457,宜進,18.77,0.0,1.21
1459,聯發,6.94,8.55,1.40
1460,宏遠,-,0.0,1.13
