99年09月03日 個股日本益比、殖利率及股價淨值比,99年09月03日 個股日本益比、殖利率及股價淨值比,99年09月03日 個股日本益比、殖利率及股價淨值比,99年09月03日 個股日本益比、殖利率及股價淨值比,99年09月03日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,12.87,5.66,1.39
1102,亞泥,13.20,6.92,1.33
1103,嘉泥,257.50,2.59,0.81
1104,環泥,11.81,3.07,0.79
1108,幸福,-,2.21,0.74
1109,信大,108.22,3.59,0.69
1110,東泥,306.25,1.63,0.86
1201,味全,23.93,1.79,3.04
1203,味王,67.76,5.83,1.36
1210,大成,20.44,5.66,1.56
1213,大飲,125.53,0.0,2.12
1215,卜蜂,16.89,5.59,1.13
1216,統一,17.82,4.83,2.40
1217,愛之味,632.50,0.0,1.22
1218,泰山,32.76,3.74,1.48
1219,福壽,22.68,5.28,1.00
1220,台榮,205.00,0.0,1.42
1225,福懋油,22.19,2.32,1.11
1227,佳格,18.82,4.39,4.60
1229,聯華,10.05,3.98,0.88
1231,聯華食,14.57,2.78,1.64
1232,大統益,11.92,7.56,2.44
1233,天仁,21.11,3.7,3.66
1234,黑松,38.03,1.94,1.32
1235,興泰,153.68,0.51,3.75
1236,宏亞,11.90,7.68,1.74
1301,台塑,11.92,5.56,2.04
1303,南亞,14.15,3.03,1.92
1304,台聚,9.43,8.99,1.51
1305,華夏,70.59,2.5,1.06
1307,三芳,12.01,5.59,2.17
1308,亞聚,8.70,9.06,1.34
1309,台達化,10.79,0.0,0.96
1310,台苯,-,4.41,1.28
1312,國喬,8.27,1.35,1.15
1313,聯成,8.54,5.04,1.22
1314,中石化,8.82,0.0,1.44
1315,達新,47.87,4.44,0.92
1316,上曜,-,0.0,0.89
1319,東陽,15.28,2.91,2.57
1321,大洋,-,0.0,1.91
1323,永裕,10.85,6.42,1.56
1324,地球,20.25,2.51,1.85
1325,恆大,12.55,3.22,1.53
1326,台化,9.52,6.24,1.84
1402,遠東新,19.92,3.98,1.98
1409,新纖,19.03,1.73,1.01
1410,南染,38.41,0.0,1.23
1413,宏洲,-,0.0,1.02
1414,東和,-,0.0,0.81
1416,廣豐,22.97,0.0,0.93
1417,嘉裕,67.19,0.0,0.96
