103年07月31日 個股日本益比、殖利率及股價淨值比,103年07月31日 個股日本益比、殖利率及股價淨值比,103年07月31日 個股日本益比、殖利率及股價淨值比,103年07月31日 個股日本益比、殖利率及股價淨值比,103年07月31日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,15.85,5.13,1.41
1102,亞泥,19.62,4.78,1.02
1103,嘉泥,8.57,6.56,0.51
1104,環泥,15.08,3.76,1.2
1108,幸福,19.29,5.18,0.79
1109,信大,18.44,8.45,0.96
1110,東泥,60.74,1.22,1.06
1201,味全,29.24,1.24,2.85
1203,味王,22.54,3.96,1.41
1210,大成,9.81,11.2,1.43
1213,大飲,102.95,0.0,1.78
1215,卜蜂,11.25,4.59,1.36
1216,統一,22.25,3.66,3.28
1217,愛之味,-,0.0,0.97
1218,泰山,-,0.0,1.46
1219,福壽,53.03,0.86,1.45
1220,台榮,32.81,3.33,0.87
1225,福懋油,59.17,1.17,1.75
1227,佳格,33.05,2.92,4.97
1229,聯華,10.48,4.56,0.85
1231,聯華食,22.29,5.09,2.25
1232,大統益,15.27,5.07,3.49
1233,天仁,18.63,4.55,3.02
1234,黑松,48.09,6.12,0.74
1235,興泰,157.10,0.0,2.6
1236,宏亞,28.88,5.06,1.46
1262,綠悅-KY,21.06,1.98,3.02
1301,台塑,21.96,2.46,1.86
1303,南亞,20.14,2.71,1.91
1304,台聚,29.46,3.13,1.15
1305,華夏,11.40,8.16,1.07
1307,三芳,12.52,5.85,1.44
1308,亞聚,21.93,4.18,1.22
1309,台達化,-,0.0,0.94
1310,台苯,8.25,5.67,1.51
1312,國喬,8.44,5.67,1.01
1313,聯成,57.17,3.04,0.8
1314,中石化,-,0.0,0.91
1315,達新,36.67,3.5,0.82
1316,上曜,-,0.0,1.57
1319,東陽,15.50,2.96,1.3
1321,大洋,710.00,0.0,1.85
1323,永裕,12.25,4.34,1.9
1324,地球,29.15,7.56,1.25
1325,恆大,29.40,3.3,1.08
1326,台化,19.09,3.41,1.59
1337,再生-KY,6.41,8.01,0.96
1338,廣華-KY,19.01,1.92,2.07
1339,昭輝,27.50,1.55,3.63
1340,勝悅-KY,13.63,4.2,2.14
1402,遠東新,24.07,3.86,0.89
1409,新纖,12.12,3.14,0.72
1410,南染,25.10,3.45,1.76
1413,宏洲,-,0.0,0.88
1414,東和,15.84,5.54,0.6
1416,廣豐,146.92,11.52,1.01
1417,嘉裕,28.27,2.36,0.72
1418,東華,-,0.0,1.13
1419,新紡,73.45,1.11,1.66
1423,利華,-,0.0,0.54
1432,大魯閣,-,0.0,1.79
1434,福懋,25.78,3.01,1.11
1435,中福,-,0.0,0.9
1436,華友聯,-,0.0,1.33
1437,勤益控,-,0.0,0.96
1438,三地開發,27.92,0.0,1.34
1439,雋揚,-,3.5,0.63
1440,南紡,31.51,3.02,1.23
1441,大東,-,0.0,0.83
1442,名軒,5.95,12.78,1.41
1443,立益物流,-,0.0,0.75
1444,力麗,16.61,1.94,0.81
1445,大宇,23.00,5.18,0.69
1446,宏和,-,0.94,2.26
1447,力鵬,9.76,8.33,0.84
1449,佳和,-,0.0,4.72
1451,年興,11.95,7.41,1.02
1452,宏益,10.36,6.96,0.74
1453,大將,48.10,4.95,0.85
1454,台富,26.74,3.02,0.66
1455,集盛,19.53,2.18,0.74
1456,怡華,-,0.0,1.91
1457,宜進,11.04,5.76,0.6
1459,聯發,19.29,2.88,1.0
1460,宏遠,29.34,1.29,1.49
1463,強盛新,44.59,1.82,1.39
1464,得力,-,0.0,1.06
1465,偉全,15.77,11.09,1.1
1466,聚隆,25.56,1.98,1.51
1467,南緯,17.15,1.48,1.19
1468,昶和,-,0.0,1.53
1469,理隆,-,0.0,0.99
1470,大統新創,47.04,1.3,2.14
1471,首利,-,0.0,0.82
1472,三洋實業,-,0.0,7.46
1473,台南,26.32,8.3,1.0
1474,弘裕,16.83,3.3,0.67
1475,業旺,-,0.0,2.48
1476,儒鴻,30.21,2.19,9.61
1477,聚陽,18.10,4.99,4.45
1503,士電,16.86,3.5,1.01
1504,東元,19.95,2.87,1.69
1506,正道,-,0.0,2.33
1507,永大,17.34,3.25,2.92
1512,瑞利,-,0.0,0.83
1513,中興電,17.38,3.77,1.26
1514,亞力,28.69,3.27,0.69
1515,力山,9.12,4.85,0.81
1516,川飛,58.50,0.0,1.69
1517,利奇,10.96,3.02,1.09
1519,華城,30.09,1.93,1.44
1521,大億,16.32,4.87,3.4
1522,堤維西,46.16,0.0,1.2
1524,耿鼎,-,0.0,0.71
1525,江申,15.17,2.27,1.7
1526,日馳,14.87,0.0,1.16
1527,鑽全,12.51,9.3,2.45
1528,恩德,17.57,4.49,0.93
1529,樂事綠能,-,0.0,2.08
1530,亞崴,18.61,4.26,1.73
1531,高林股,16.02,4.56,0.98
1532,勤美,4.59,8.68,1.13
1533,車王電,25.51,2.22,3.0
1535,中宇,15.84,4.74,2.65
