100年11月25日 個股日本益比、殖利率及股價淨值比,100年11月25日 個股日本益比、殖利率及股價淨值比,100年11月25日 個股日本益比、殖利率及股價淨值比,100年11月25日 個股日本益比、殖利率及股價淨值比,100年11月25日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,12.79,6.23,1.26
1102,亞泥,9.31,6.61,1.25
1103,嘉泥,30.73,4.76,0.6
1104,環泥,17.95,7.14,0.68
1108,幸福,-,0.0,0.55
1109,信大,-,2.67,0.75
1110,東泥,495.50,1.01,0.69
1201,味全,9.66,1.92,2.25
1203,味王,31.77,2.54,1.16
1210,大成,12.61,6.05,1.36
1213,大飲,127.86,0.0,1.57
1215,卜蜂,18.31,7.69,0.74
1216,統一,20.47,5.06,2.5
1217,愛之味,87.70,0.0,0.8
1218,泰山,16.67,4.64,1.23
1219,福壽,6.65,4.59,1.17
1220,台榮,11.96,0.0,0.89
1225,福懋油,15.61,6.93,0.93
1227,佳格,19.74,4.67,5.95
1229,聯華,7.60,8.7,0.71
1231,聯華食,11.05,3.97,1.97
1232,大統益,12.55,7.42,2.67
1233,天仁,15.73,4.76,2.73
1234,黑松,39.04,1.88,1.45
1235,興泰,120.79,1.31,1.43
1236,宏亞,17.19,6.36,1.61
1301,台塑,10.14,8.68,1.93
1303,南亞,12.92,8.44,1.63
1304,台聚,6.84,9.26,1.68
1305,華夏,35.00,0.0,0.78
1307,三芳,10.62,9.91,1.39
1308,亞聚,6.25,12.9,1.33
1309,台達化,5.97,15.38,0.79
1310,台苯,-,0.0,0.78
1312,國喬,6.36,7.94,0.86
1313,聯成,8.82,13.61,0.86
1314,中石化,4.30,7.26,1.42
1315,達新,19.00,3.76,0.97
1316,上曜,-,0.0,1.46
1319,東陽,16.67,3.67,1.13
1321,大洋,-,0.0,1.79
1323,永裕,9.75,7.81,1.27
1324,地球,10.84,3.65,0.79
1325,恆大,12.47,5.57,1.09
1326,台化,9.00,9.84,1.71
1337,再生-KY,10.63,0.0,2.03
1402,遠東新,11.02,7.12,1.57
1409,新纖,8.41,11.26,0.63
1410,南染,13.15,1.05,1.08
1413,宏洲,17.25,0.0,0.49
1414,東和,1.91,0.0,0.87
1416,廣豐,9.63,5.77,0.63
1417,嘉裕,14.89,0.0,0.78
1418,東華,43.40,0.0,0.71
1419,新紡,49.23,2.19,1.75
1423,利華,17.73,0.0,0.51
1432,大魯閣,1.50,0.0,0.37
1434,福懋,20.37,7.27,0.91
1435,中福,-,0.0,0.48
1436,華友聯,-,1.59,1.13
1437,勤益控,-,1.26,0.67
1438,三地開發,0.30,0.0,0.36
1439,雋揚,-,57.31,0.74
1440,南紡,15.78,10.89,0.69
1441,大東,2.55,0.0,0.83
1442,名軒,7.96,8.81,1.74
1443,立益物流,14.15,0.0,0.39
1444,力麗,5.34,19.15,0.76
1445,大宇,12.76,6.76,0.54
1446,宏和,5.91,0.0,0.79
1447,力鵬,6.38,6.54,0.61
1449,佳和,-,0.0,1.83
1451,年興,8.53,6.35,0.82
1452,宏益,7.53,13.73,0.58
1453,大將,212.50,5.88,0.77
1454,台富,5.72,0.0,0.63
1455,集盛,5.88,10.0,0.87
1456,怡華,-,0.0,1.66
1457,宜進,-,6.14,0.66
1459,聯發,5.99,15.64,0.88
1460,宏遠,-,0.0,0.76
1463,強盛新,-,0.0,0.87
1464,得力,89.67,1.86,1.02
1465,偉全,10.12,17.25,0.65
1466,聚隆,4.18,4.55,0.91
1467,南緯,11.58,0.0,0.73
1468,昶和,-,0.0,1.52
1469,理隆,95.56,0.0,0.7
1470,大統新創,18.50,1.54,1.25
1471,首利,-,0.0,0.74
1473,台南,9.36,7.02,1.19
1474,弘裕,8.19,7.0,0.55
1476,儒鴻,9.87,5.68,2.34
1477,聚陽,11.68,6.85,2.59
1503,士電,13.12,3.96,0.99
1504,東元,11.58,4.64,0.89
1506,正道,-,0.0,1.72
1507,永大,12.63,4.42,1.72
1512,瑞利,53.62,7.17,0.61
1513,中興電,11.67,6.97,0.93
1514,亞力,15.22,4.29,0.6
