104年01月13日 個股日本益比、殖利率及股價淨值比,104年01月13日 個股日本益比、殖利率及股價淨值比,104年01月13日 個股日本益比、殖利率及股價淨值比,104年01月13日 個股日本益比、殖利率及股價淨值比,104年01月13日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,14.29,5.57,1.37
1102,亞泥,13.98,5.2,0.97
1103,嘉泥,7.69,7.07,0.53
1104,環泥,11.58,4.17,1.08
1108,幸福,13.27,4.35,0.93
1109,信大,15.00,8.89,0.97
1110,東泥,74.09,1.23,1.05
1201,味全,29.94,2.44,1.48
1203,味王,28.10,4.24,1.33
1210,大成,7.81,14.9,1.35
1213,大飲,105.50,0.0,1.62
1215,卜蜂,7.94,5.28,1.17
1216,統一,25.12,4.16,3.14
1217,愛之味,-,0.0,0.73
1218,泰山,-,0.0,1.2
1219,福壽,39.47,1.0,1.26
1220,台榮,35.00,3.33,0.88
1225,福懋油,2100.00,1.14,1.81
1227,佳格,23.88,3.77,4.22
1229,聯華,9.20,4.81,0.84
1231,聯華食,20.78,7.2,1.83
1232,大統益,14.25,5.37,3.61
1233,天仁,18.46,4.9,3.08
1234,黑松,19.35,5.17,0.9
1235,興泰,10.21,0.0,0.83
1236,宏亞,12.35,5.37,1.39
1262,綠悅-KY,17.98,2.13,2.97
1301,台塑,19.66,2.55,1.73
1303,南亞,14.67,2.92,1.68
1304,台聚,27.36,3.13,1.16
1305,華夏,20.07,8.79,1.09
1307,三芳,11.74,5.61,1.56
1308,亞聚,21.13,4.12,1.31
1309,台達化,-,0.0,0.9
1310,台苯,13.95,7.17,1.31
1312,國喬,16.67,5.88,1.01
1313,聯成,70.00,3.28,0.75
1314,中石化,-,0.0,0.93
1315,達新,30.16,3.49,0.76
1316,上曜,-,0.0,1.79
1319,東陽,19.05,2.89,1.35
1321,大洋,-,0.0,1.59
1323,永裕,13.42,4.01,2.1
1324,地球,24.33,8.9,1.15
1325,恆大,42.90,3.03,1.22
1326,台化,19.32,3.82,1.4
1337,再生-KY,8.02,8.97,0.96
1338,廣華-KY,12.73,2.63,1.39
1339,昭輝,24.07,1.45,3.81
1340,勝悅-KY,11.10,4.59,2.08
1402,遠東新,15.14,4.13,0.85
1409,新纖,13.33,3.13,0.72
1410,南染,18.87,3.48,1.64
1413,宏洲,-,0.0,0.82
1414,東和,43.21,6.09,0.58
1416,廣豐,12.60,12.67,1.03
1417,嘉裕,25.81,2.5,0.64
1418,東華,-,0.0,1.11
1419,新紡,90.80,1.13,1.62
1423,利華,-,0.0,0.53
1432,大魯閣,-,0.0,1.43
1434,福懋,15.88,3.16,1.07
1435,中福,-,0.0,0.8
1436,華友聯,9.53,0.0,1.2
1437,勤益控,-,0.0,0.89
1438,三地開發,163.00,0.0,1.26
1439,雋揚,-,3.42,0.66
1440,南紡,52.65,3.35,1.18
1441,大東,-,0.0,0.86
1442,名軒,16.20,16.91,1.25
1443,立益物流,-,0.0,0.68
1444,力麗,43.71,2.18,0.76
1445,大宇,43.10,5.52,0.67
1446,宏和,2980.00,1.01,2.19
1447,力鵬,17.36,8.0,0.98
1449,佳和,-,0.0,0.51
1451,年興,14.59,7.53,1.08
1452,宏益,9.60,5.99,0.84
1453,大將,-,5.33,0.84
1454,台富,20.18,3.1,0.65
1455,集盛,43.43,2.19,0.75
1456,怡華,-,0.0,1.83
1457,宜進,11.80,5.93,0.6
1459,聯發,10.88,3.54,0.84
1460,宏遠,21.86,1.31,1.45
1463,強盛新,28.68,1.83,1.4
1464,得力,144.50,0.0,1.29
1465,偉全,15.90,14.84,0.98
1466,聚隆,37.31,2.42,1.16
1467,南緯,27.35,1.49,1.16
1468,昶和,-,0.0,1.34
1469,理隆,303.75,0.0,0.86
1470,大統新創,28.06,1.6,1.75
1471,首利,-,0.0,0.7
1472,三洋實業,-,0.0,4.53
1473,台南,37.08,9.33,0.98
1474,弘裕,16.90,3.41,0.66
1475,業旺,-,0.0,2.54
1476,儒鴻,28.32,2.38,9.59
1477,聚陽,20.69,4.44,4.31
1503,士電,15.80,3.54,0.99
1504,東元,13.94,3.7,1.27
1506,正道,-,0.0,2.34
1507,永大,14.46,3.27,2.86
1512,瑞利,-,0.0,0.68
1513,中興電,13.26,3.89,1.19
1514,亞力,28.38,3.11,0.73
1515,力山,14.26,4.74,0.87
1516,川飛,22.65,0.0,1.63
1517,利奇,12.07,3.24,1.02
1519,華城,28.30,2.02,1.38
1521,大億,13.19,5.32,3.3
1522,堤維西,32.43,0.0,1.38
1524,耿鼎,-,0.0,0.68
1525,江申,13.85,2.51,1.51
1526,日馳,14.84,0.0,1.37
1527,鑽全,9.40,10.36,2.49
1528,恩德,53.57,5.33,0.83
1529,樂事綠能,-,0.0,2.19
1530,亞崴,14.21,5.03,1.52
1531,高林股,24.04,4.2,1.09
1532,勤美,4.61,10.09,1.09
1533,車王電,25.93,2.4,2.84
1535,中宇,13.86,5.07,2.55
1536,和大,21.52,2.23,4.44
1537,廣隆,12.80,5.82,2.78
1538,正峰,-,0.0,0.98
1539,巨庭,10.93,0.0,1.54
1540,喬福,12.07,5.5,1.4
1541,錩泰,18.63,0.0,1.43
1558,伸興,13.01,5.63,2.56
1560,中砂,14.00,5.24,2.41
1568,倉佑,19.91,2.24,1.67
1582,信錦,12.90,5.38,1.92
1583,程泰,15.11,3.8,2.54
1589,永冠-KY,15.61,2.67,1.88
1590,亞德客-KY,25.83,2.32,5.01
1592,英瑞-KY,6.40,7.02,1.04
1603,華電,15.80,0.0,0.64
1604,聲寶,12.55,5.66,0.84
1605,華新,-,0.0,0.56
1608,華榮,9.44,6.93,0.53
1609,大亞,21.60,3.09,0.52
1611,中電,-,0.0,0.78
1612,宏泰,15.00,7.25,0.69
1613,台一,-,0.0,0.53
1614,三洋電,30.30,2.97,1.59
1615,大山,14.00,2.68,0.86
1616,億泰,-,0.0,0.64
1617,榮星,38.57,0.0,0.72
1618,合機,-,0.0,0.49
1626,艾美特-KY,-,8.42,1.25
1701,中化,24.53,2.4,1.19
1702,南僑,14.35,3.63,2.9
1704,榮化,-,2.96,1.02
1707,葡萄王,18.97,3.79,6.2
