102年06月18日 個股日本益比、殖利率及股價淨值比,102年06月18日 個股日本益比、殖利率及股價淨值比,102年06月18日 個股日本益比、殖利率及股價淨值比,102年06月18日 個股日本益比、殖利率及股價淨值比,102年06月18日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
1101,台泥,18.05,5.06,1.29
1102,亞泥,20.39,5.21,1.36
1103,嘉泥,-,0.0,0.66
1104,環泥,14.19,4.26,0.78
1108,幸福,23.52,0.0,0.69
1109,信大,40.96,3.57,0.74
1110,東泥,217.86,0.66,1.02
1201,味全,31.42,1.2,3.15
1203,味王,25.48,1.4,1.28
1210,大成,18.38,4.7,1.14
1213,大飲,93.80,0.0,1.88
1215,卜蜂,9.66,5.18,0.74
1216,統一,21.87,3.41,3.38
1217,愛之味,70.86,0.0,0.93
1218,泰山,-,0.0,1.43
1219,福壽,-,2.0,1.24
1220,台榮,14.21,3.24,0.9
1225,福懋油,32.88,3.04,1.09
1227,佳格,22.83,3.78,4.98
1229,聯華,10.29,5.19,0.81
1231,聯華食,12.54,4.88,2.07
1232,大統益,16.92,4.96,2.88
1233,天仁,19.15,4.66,2.95
1234,黑松,2.51,6.54,1.01
1235,興泰,-,0.0,1.44
1236,宏亞,13.05,2.82,1.76
1301,台塑,27.60,2.32,1.8
1303,南亞,45.00,0.68,1.83
1304,台聚,16.32,4.75,1.24
1305,華夏,9.21,5.68,1.29
1307,三芳,12.51,6.38,1.37
1308,亞聚,21.31,4.39,1.13
1309,台達化,-,0.0,0.8
1310,台苯,-,0.0,1.61
1312,國喬,9.27,5.65,1.09
1313,聯成,18.27,6.51,0.93
1314,中石化,-,3.45,0.99
1315,達新,39.93,3.38,0.88
1316,上曜,-,0.0,1.31
1319,東陽,23.02,1.75,1.27
1321,大洋,-,0.0,1.65
1323,永裕,10.56,4.86,1.49
1324,地球,21.35,2.97,1.0
1325,恆大,23.12,2.53,1.0
1326,台化,33.06,1.37,1.65
1337,再生-KY,9.59,6.46,1.65
1338,廣華-KY,16.70,3.38,1.2
1339,昭輝,12.69,3.88,1.57
1402,遠東新,20.66,4.81,1.39
1409,新纖,19.27,3.39,0.67
1410,南染,16.62,5.43,1.47
1413,宏洲,-,0.0,0.61
1414,東和,20.23,4.27,0.61
1416,廣豐,5.47,5.97,0.93
1417,嘉裕,71.31,5.39,0.77
1418,東華,-,0.0,0.68
1419,新紡,74.71,1.31,1.64
1423,利華,-,0.0,0.47
1432,大魯閣,5.51,11.32,2.1
1434,福懋,18.90,3.62,0.94
1435,中福,615.00,0.0,0.9
1436,華友聯,-,0.0,1.61
1437,勤益控,-,0.0,0.67
1438,三地開發,30.24,0.0,1.04
1439,雋揚,-,3.23,0.67
1440,南紡,20.74,2.13,0.9
1441,大東,27.71,2.06,0.77
1442,名軒,13.31,3.77,1.76
1443,立益物流,-,0.0,0.45
1444,力麗,19.81,5.61,0.86
1445,大宇,33.78,3.86,0.56
1446,宏和,-,1.06,1.97
1447,力鵬,56.30,0.0,0.97
1449,佳和,-,0.0,4.18
1451,年興,20.66,4.59,1.21
1452,宏益,16.02,4.88,0.67
1453,大將,6.39,5.43,0.88
