證券代號,證券名稱,買進股數,賣出股數,買賣超股數
6191  ,精成科          ,"4,893,000","50,000","4,843,000"
1605  ,華新            ,"2,780,000","38,000","2,742,000"
2449  ,京元電子        ,"2,079,000","133,000","1,946,000"
3017  ,奇鋐            ,"1,500,000","3,000","1,497,000"
2317  ,鴻海            ,"1,502,000","219,303","1,282,697"
2892  ,第一金          ,"1,209,000",0,"1,209,000"
2337  ,旺宏            ,"1,353,000","707,000","646,000"
9904  ,寶成            ,"1,290,000","775,457","514,543"
2345  ,智邦            ,"391,000","9,000","382,000"
6239  ,力成            ,"661,000","344,574","316,426"
3015  ,全漢            ,"211,000","1,000","210,000"
3661  ,世芯-KY         ,"217,400","10,000","207,400"
6139  ,亞翔            ,"200,000","10,000","190,000"
1519  ,華城            ,"180,000",0,"180,000"
1702  ,南僑            ,"174,000",0,"174,000"
8210  ,勤誠            ,"149,000","21,000","128,000"
2347  ,聯強            ,"398,000","271,008","126,992"
6669  ,緯穎            ,"125,000","4,000","121,000"
2408  ,南亞科          ,"204,000","85,000","119,000"
2059  ,川湖            ,"106,000",0,"106,000"
5243  ,乙盛-KY         ,"90,000",0,"90,000"
6442  ,光聖            ,"79,000",0,"79,000"
2313  ,華通            ,"73,000",0,"73,000"
1504  ,東元            ,"199,000","131,743","67,257"
2368  ,金像電          ,"279,000","212,000","67,000"
3481  ,群創            ,"37,000",0,"37,000"
1319  ,東陽            ,"30,000","7,864","22,136"
3413  ,京鼎            ,"20,000","2,000","18,000"
6271  ,同欣電          ,"11,000",0,"11,000"
2352  ,佳世達          ,"11,000","2,000","9,000"
3013  ,晟銘電          ,"9,000",0,"9,000"
3706  ,神達            ,"5,000",0,"5,000"
2354  ,鴻準            ,"4,000",0,"4,000"
1722  ,台肥            ,"3,000",0,"3,000"
6592A ,和潤企業甲特    ,"1,000",0,"1,000"
6592B ,和潤企業乙特    ,"1,000",0,"1,000"
6691  ,洋基工程        ,"1,000",0,"1,000"
2303  ,聯電            ,"109,000","7,760,951","-7,651,951"
2891  ,中信金          ,"300,000","4,813,095","-4,513,095"
2603  ,長榮            ,"247,000","4,642,203","-4,395,203"
2887  ,台新新光金      ,"57,000","4,142,000","-4,085,000"
3037  ,欣興            ,"312,000","3,788,000","-3,476,000"
2882  ,國泰金          ,0,"3,178,413","-3,178,413"
2615  ,萬海            ,0,"3,034,797","-3,034,797"
"=""00965 """,元大航太防衛科技,0,"3,000,000","-3,000,000"
2884  ,玉山金          ,"28,000","2,979,173","-2,951,173"
2492  ,華新科          ,"2,000","2,536,000","-2,534,000"
"=""00945B""",凱基美國非投等債,0,"1,800,000","-1,800,000"
2618  ,長榮航          ,0,"1,745,612","-1,745,612"
2301  ,光寶科          ,"1,393,000","3,105,000","-1,712,000"
2883  ,凱基金          ,0,"1,601,000","-1,601,000"
2610  ,華航            ,0,"1,550,754","-1,550,754"
2308  ,台達電          ,"71,000","1,423,700","-1,352,700"
3702  ,大聯大          ,"17,000","1,193,031","-1,176,031"
2801  ,彰銀            ,0,"1,172,439","-1,172,439"
2881  ,富邦金          ,0,"1,109,277","-1,109,277"
2356  ,英業達          ,"25,000","1,126,000","-1,101,000"
2606  ,裕民            ,0,"1,083,329","-1,083,329"
2327  ,國巨*           ,"19,000","1,005,000","-986,000"
2637  ,慧洋-KY         ,0,"922,000","-922,000"
4904  ,遠傳            ,0,"821,000","-821,000"
3045  ,台灣大          ,0,"812,000","-812,000"
2609  ,陽明            ,"82,000","868,088","-786,088"
2886  ,兆豐金          ,"22,000","800,094","-778,094"
4938  ,和碩            ,"9,000","784,651","-775,651"
9802  ,鈺齊-KY         ,0,"775,000","-775,000"
6257  ,矽格            ,0,"728,178","-728,178"
6005  ,群益證          ,0,"726,053","-726,053"
2481  ,強茂            ,0,"709,000","-709,000"
3711  ,日月光投控      ,"106,000","758,000","-652,000"
3665  ,貿聯-KY         ,"2,000","622,000","-620,000"
8046  ,南電            ,"1,000","604,304","-603,304"
2324  ,仁寶            ,"229,000","828,998","-599,998"
6757  ,台灣虎航        ,"4,000","556,000","-552,000"
2890  ,永豐金          ,"67,000","548,697","-481,697"
3036  ,文曄            ,"3,000","470,000","-467,000"
2455  ,全新            ,"8,000","459,000","-451,000"
2027  ,大成鋼          ,0,"424,000","-424,000"
2353  ,宏��            ,"14,000","433,000","-419,000"
2474  ,可成            ,"8,000","421,261","-413,261"
6278  ,台表科          ,0,"407,242","-407,242"
2436  ,偉詮電          ,0,"400,000","-400,000"
2357  ,華碩            ,"4,000","373,933","-369,933"
2634  ,漢翔            ,0,"362,000","-362,000"
1402  ,遠東新          ,0,"360,000","-360,000"
2211  ,長榮鋼          ,0,"355,322","-355,322"
2344  ,華邦電          ,"15,000","361,000","-346,000"
2382  ,廣達            ,"16,000","361,157","-345,157"
2885  ,元大金          ,"9,000","345,727","-336,727"
3376  ,新日興          ,0,"325,000","-325,000"
2393  ,億光            ,0,"324,444","-324,444"
"=""00646 """,元大S&P500      ,0,"320,000","-320,000"
8070  ,長華*           ,0,"306,377","-306,377"
4915  ,致伸            ,0,"304,596","-304,596"
3005  ,神基            ,"1,000","301,895","-300,895"
1307  ,三芳            ,0,"281,824","-281,824"
3653  ,健策            ,"2,000","282,200","-280,200"
3042  ,晶技            ,0,"276,204","-276,204"
3715  ,定穎投控        ,0,"251,000","-251,000"
"=""00713 """,元大台灣高息低波,0,"250,000","-250,000"
4927  ,泰鼎-KY         ,0,"236,000","-236,000"
2504  ,國產            ,0,"226,104","-226,104"
5871  ,中租-KY         ,"7,000","230,000","-223,000"
2915  ,潤泰全          ,0,"220,000","-220,000"
3030  ,德律            ,0,"210,000","-210,000"
1210  ,大成            ,"3,000","207,000","-204,000"
6285  ,啟��            ,"10,000","207,000","-197,000"
2451  ,創見            ,0,"195,898","-195,898"
2912  ,統一超          ,0,"193,826","-193,826"
4958  ,臻鼎-KY         ,"7,000","190,000","-183,000"
2006  ,東和鋼鐵        ,0,"182,000","-182,000"
6472  ,保瑞            ,0,"180,000","-180,000"
2377  ,微星            ,"4,000","182,000","-178,000"
3231  ,緯創            ,"486,000","663,000","-177,000"
2385  ,群光            ,"192,000","364,178","-172,178"
2330  ,台積電          ,"173,000","344,000","-171,000"
2105  ,正新            ,0,"169,569","-169,569"
1303  ,南亞            ,0,"166,000","-166,000"
1590  ,亞德客-KY       ,0,"166,000","-166,000"
6781  ,AES-KY          ,0,"163,000","-163,000"
5876  ,上海商銀        ,0,"149,974","-149,974"
2441  ,超豐            ,0,"144,000","-144,000"
3034  ,聯詠            ,"6,000","148,774","-142,774"
2458  ,義隆            ,"1,000","133,973","-132,973"
2204  ,中華            ,0,"131,610","-131,610"
2228  ,劍麟            ,0,"130,000","-130,000"
6805  ,富世達          ,"20,000","150,000","-130,000"
2206  ,三陽工業        ,0,"129,000","-129,000"
6944  ,兆聯實業        ,"4,000","131,000","-127,000"
2404  ,漢唐            ,"1,000","126,608","-125,608"
9939  ,宏全            ,0,"124,000","-124,000"
2233  ,宇隆            ,0,"123,000","-123,000"
6196  ,帆宣            ,"66,000","186,000","-120,000"
1477  ,聚陽            ,"3,000","119,883","-116,883"
3443  ,創意            ,"1,000","113,700","-112,700"
3044  ,健鼎            ,"357,000","468,611","-111,611"
2439  ,美律            ,0,"110,268","-110,268"
"=""0056  """,元大高股息      ,0,"110,000","-110,000"
2379  ,瑞昱            ,"7,000","117,000","-110,000"
3406  ,玉晶光          ,"2,000","110,000","-108,000"
3533  ,嘉澤            ,0,"107,700","-107,700"
6176  ,瑞儀            ,"3,000","109,098","-106,098"
2607  ,榮運            ,0,"104,000","-104,000"
2454  ,聯發科          ,"30,000","127,544","-97,544"
9910  ,豐泰            ,0,"94,229","-94,229"
4766  ,南寶            ,0,"88,876","-88,876"
3596  ,智易            ,0,"80,000","-80,000"
1216  ,統一            ,"10,000","87,000","-77,000"
8996  ,高力            ,0,"75,000","-75,000"
9917  ,中保科          ,0,"74,000","-74,000"
9958  ,世紀鋼          ,0,"70,000","-70,000"
8016  ,矽創            ,0,"68,110","-68,110"
2409  ,友達            ,"29,000","94,152","-65,152"
"=""006208""",富邦台50        ,0,"65,000","-65,000"
5434  ,崇越            ,"1,000","66,000","-65,000"
1215  ,卜蜂            ,0,"62,000","-62,000"
2727  ,王品            ,0,"60,000","-60,000"
6526  ,達發            ,"1,000","59,000","-58,000"
2371  ,大同            ,0,"54,000","-54,000"
6412  ,群電            ,"1,000","52,746","-51,746"
6753  ,龍德造船        ,0,"51,000","-51,000"
6670  ,復盛應用        ,0,"50,437","-50,437"
2880  ,華南金          ,"33,000","83,000","-50,000"
3592  ,瑞鼎            ,0,"48,834","-48,834"
3010  ,華立            ,0,"46,374","-46,374"
8464  ,億豐            ,0,"45,463","-45,463"
3090  ,日電貿          ,0,"43,305","-43,305"
5269  ,祥碩            ,"1,000","38,000","-37,000"
6768  ,志強-KY         ,0,"36,721","-36,721"
"=""00850 """,元大臺灣ESG永續 ,0,"35,000","-35,000"
2542  ,興富發          ,"14,000","47,000","-33,000"
6605  ,帝寶            ,0,"32,000","-32,000"
6790  ,永豐實          ,0,"32,000","-32,000"
1802  ,台玻            ,0,"31,000","-31,000"
2838  ,聯邦銀          ,0,"31,000","-31,000"
1434  ,福懋            ,0,"30,000","-30,000"
4755  ,三福化          ,0,"30,000","-30,000"
5706  ,鳳凰            ,0,"30,000","-30,000"
2707  ,晶華            ,0,"28,311","-28,311"
