證券代號,證券名稱,買進股數,賣出股數,買賣超股數
2887  ,台新新光金      ,"16,242,000","2,887,218","13,354,782"
2409  ,友達            ,"4,869,000","34,412","4,834,588"
"=""0050  """,元大台灣50      ,"4,300,000",0,"4,300,000"
2881  ,富邦金          ,"4,057,000","469,035","3,587,965"
1605  ,華新            ,"2,924,000",199,"2,923,801"
2838  ,聯邦銀          ,"2,668,000",225,"2,667,775"
4958  ,臻鼎-KY         ,"1,953,000","526,002","1,426,998"
2542  ,興富發          ,"1,411,000","72,113","1,338,887"
2883  ,凱基金          ,"1,655,000","738,886","916,114"
6005  ,群益證          ,"1,471,000","625,624","845,376"
6257  ,矽格            ,"1,179,000","364,177","814,823"
2903  ,遠百            ,"752,000",74,"751,926"
3231  ,緯創            ,"1,329,000","583,151","745,849"
2855  ,統一證          ,"716,000",83,"715,917"
2327  ,國巨*           ,"684,000","113,105","570,895"
2317  ,鴻海            ,"1,310,000","739,254","570,746"
2454  ,聯發科          ,"590,000","48,170","541,830"
2356  ,英業達          ,"2,233,000","1,694,187","538,813"
2481  ,強茂            ,"1,293,000","771,000","522,000"
2501  ,國建            ,"445,000",18,"444,982"
9910  ,豐泰            ,"428,000","6,051","421,949"
2376  ,技嘉            ,"401,000","12,033","388,967"
6442  ,光聖            ,"416,000","46,000","370,000"
8210  ,勤誠            ,"412,000","89,006","322,994"
2301  ,光寶科          ,"892,000","584,123","307,877"
"=""0056  """,元大高股息      ,"300,000",0,"300,000"
8112  ,至上            ,"300,000","21,946","278,054"
1504  ,東元            ,"1,207,000","977,111","229,889"
8046  ,南電            ,"236,000","11,322","224,678"
1316  ,上曜            ,"223,000",0,"223,000"
2614  ,東森            ,"215,000",0,"215,000"
3515  ,華擎            ,"205,000",6,"204,994"
6213  ,聯茂            ,"200,000",19,"199,981"
2374  ,佳能            ,"197,000",0,"197,000"
6446  ,藥華藥          ,"194,000","1,366","192,634"
2540  ,愛山林          ,"191,000",43,"190,957"
2204  ,中華            ,"201,000","35,027","165,973"
8039  ,台虹            ,"162,000","3,000","159,000"
