日期,名稱,說明,備註
1月1日 (四),中華民國開國紀念日,依規定放假1日。,
2月12日 (四),市場無交易，僅辦理結算交割作業,,*
2月13日 (五),市場無交易，僅辦理結算交割作業,,*
2月15日 (日),農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2月16日 (一),農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2月17日 (二),農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。<br><br><br>,
2月18日 (三),農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2月19日 (四),農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2月20日 (五),農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2月23日 (一),農曆春節後開始交易日,農曆春節後開始交易。,o
2月27日 (五),和平紀念日,和平紀念日為2月28日適逢星期六，於2月27日（星期五）補假。,
2月28日 (六),和平紀念日,依規定放假1日。,
4月3日 (五),兒童節及民族掃墓節,兒童節為4月4日適逢星期六，於4月3日（星期五）補假。,
4月4日 (六),兒童節及民族掃墓節,依規定放假1日。,
4月5日 (日),兒童節及民族掃墓節,依規定放假1日。,
4月6日 (一),兒童節及民族掃墓節,民族掃墓節為4月5日適逢星期日，於4月6日（星期一）補假。,
5月1日 (五),勞動節,依規定放假1日。,
6月19日 (五),端午節,依規定放假1日。,
9月25日 (五),中秋節,依規定放假1日。,
9月28日 (一),孔子誕辰紀念日/ 教師節,依規定放假1日。,
10月9日 (五),國慶日,國慶日為10月10日適逢星期六，於10月9日（星期五）補假。,
10月10日 (六),國慶日,依規定放假1日。,
10月25日 (日),臺灣光復暨金門古寧頭大捷紀念日,依規定放假1日。,
10月26日 (一),臺灣光復暨金門古寧頭大捷紀念日,臺灣光復暨金門古寧頭大捷紀念日為10月25日適逢星期日，於10月26日（星期一）補假。,
12月25日 (五),行憲紀念日,依規定放假1日。,
