日期,星期,名稱,說明,備註
2023/6/23 ,星期五,端午節,依規定放假1日。<br>6月23日（星期五）調整放假，於6月17日（星期六）補行上班，但不交易亦不交割。<br>,
2023/9/29 ,星期五,中秋節,依規定放假1日。,
2023/10/9 ,星期一,國慶日,10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。<br>,
2023/10/10 ,星期二,國慶日,10月9日（星期一）調整放假，於9月23日（星期六）補行上班，但不交易亦不交割。<br>依規定放假1日。,
2024/1/1 ,星期一,中華民國開國紀念日,依規定放假1日。,
2024/2/6 ,星期二,市場無交易，僅辦理結算交割作業,,*
2024/2/7 ,星期三,市場無交易，僅辦理結算交割作業,,*
2024/2/8 ,星期四,農曆除夕前一日,2月8日（星期四）調整放假，於2月17日（星期六）補行上班，但不交易亦不交割。,
2024/2/9 ,星期五,農曆除夕,依規定放假1日。,
2024/2/10 ,星期六,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/2/11 ,星期日,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/2/12 ,星期一,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/2/13 ,星期二,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/2/14 ,星期三,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/2/28 ,星期三,和平紀念日,依規定放假1日。,
2024/4/4 ,星期四,兒童節,依規定放假1日。,
2024/4/5 ,星期五,民族掃墓節,依規定放假1日。,
2024/5/1 ,星期三,勞動節,依規定放假1日。,
2024/6/10 ,星期一,端午節,依規定放假1日。,
2024/9/17 ,星期二,中秋節,依規定放假1日。,
2024/10/10 ,星期四,國慶日,依規定放假1日。,
2025/1/1 ,星期三,中華民國開國紀念日,依規定放假1日。,
2025/1/23 ,星期四,市場無交易，僅辦理結算交割作業,,*
2025/1/24 ,星期五,市場無交易，僅辦理結算交割作業,,*
2025/1/27 ,星期一,農曆除夕前一日,1月27日（星期一）調整放假，於2月8日（星期六）補行上班，但不交易亦不交割。,
2025/1/28 ,星期二,農曆除夕,依規定放假1日。,
2025/1/29 ,星期三,農曆春節,依規定於1月29日至1月31日放假3日。,
2025/1/30 ,星期四,農曆春節,依規定於1月29日至1月31日放假3日。,
2025/1/31 ,星期五,農曆春節,依規定於1月29日至1月31日放假3日。,
2025/2/28 ,星期五,和平紀念日,依規定放假1日。,
2025/4/3 ,星期四,兒童節及民族掃墓節,兒童節與民族掃墓節為4月4日（星期五），依規定於前一日4月3日（星期四）放假。,
2025/4/4 ,星期五,兒童節及民族掃墓節,依規定放假1日。,
2025/5/1 ,星期四,勞動節,依規定放假1日。,
2025/5/30 ,星期五,端午節,端午節為5月31日適逢星期六，依規定於前一日5月30日（星期五）補假。,
2025/5/31 ,星期六,端午節,依規定放假1日。,
2025/9/28 ,星期日,孔子誕辰紀念日/ 教師節,依規定放假1日。,
2025/9/29 ,星期一,孔子誕辰紀念日/ 教師節,孔子誕辰紀念日/教師節為9月28日適逢星期日，依規定於後一日9月29日（星期一）補假。,
2025/10/6 ,星期一,中秋節,依規定放假1日。,
2025/10/10 ,星期五,國慶日,依規定放假1日。,
2025/10/24 ,星期五,臺灣光復暨金門古寧頭大捷紀念日,臺灣光復暨金門古寧頭大捷紀念日為10月25日適逢星期六，依規定於前一日10月24日（星期五）補假。,
2025/10/25 ,星期六,臺灣光復暨金門古寧頭大捷紀念日,依規定放假1日。,
2025/12/25 ,星期四,行憲紀念日,依規定放假1日。,
2026/1/1 ,星期四,中華民國開國紀念日,依規定放假1日。,
2026/2/12 ,星期四,市場無交易，僅辦理結算交割作業,,*
2026/2/13 ,星期五,市場無交易，僅辦理結算交割作業,,*
2026/2/15 ,星期日,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2026/2/16 ,星期一,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2026/2/17 ,星期二,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。<br><br><br>,
2026/2/18 ,星期三,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2026/2/19 ,星期四,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2026/2/20 ,星期五,農曆除夕及春節,依規定於2月15日至2月19日放假5日。2月15日適逢星期日，於2月20日（星期五）補假。,
2026/2/23 ,星期一,農曆春節後開始交易日,農曆春節後開始交易。,o
2026/2/27 ,星期五,和平紀念日,和平紀念日為2月28日適逢星期六，於2月27日（星期五）補假。,
2026/2/28 ,星期六,和平紀念日,依規定放假1日。,
2026/4/3 ,星期五,兒童節及民族掃墓節,兒童節為4月4日適逢星期六，於4月3日（星期五）補假。,
2026/4/4 ,星期六,兒童節及民族掃墓節,依規定放假1日。,
2026/4/5 ,星期日,兒童節及民族掃墓節,依規定放假1日。,
2026/4/6 ,星期一,兒童節及民族掃墓節,民族掃墓節為4月5日適逢星期日，於4月6日（星期一）補假。,
2026/5/1 ,星期五,勞動節,依規定放假1日。,
2026/6/19 ,星期五,端午節,依規定放假1日。,
2026/9/25 ,星期五,中秋節,依規定放假1日。,
2026/9/28 ,星期一,孔子誕辰紀念日/ 教師節,依規定放假1日。,
2026/10/9 ,星期五,國慶日,國慶日為10月10日適逢星期六，於10月9日（星期五）補假。,
2026/10/10 ,星期六,國慶日,依規定放假1日。,
2026/10/25 ,星期日,臺灣光復暨金門古寧頭大捷紀念日,依規定放假1日。,
2026/10/26 ,星期一,臺灣光復暨金門古寧頭大捷紀念日,臺灣光復暨金門古寧頭大捷紀念日為10月25日適逢星期日，於10月26日（星期一）補假。,
2026/12/25 ,星期五,行憲紀念日,依規定放假1日。,
